positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
call,2416,0,1,151,2568,0.9996105919003115,0.993421052631579,1.0,0.9966996699669967
dislike,2445,0,1,122,2568,0.9996105919003115,0.991869918699187,1.0,0.9959183673469387
fist,2473,0,1,94,2568,0.9996105919003115,0.9894736842105263,1.0,0.9947089947089947
four,2394,5,1,168,2568,0.9976635514018691,0.9940828402366864,0.9710982658959537,0.9824561403508771
like,2422,0,1,145,2568,0.9996105919003115,0.9931506849315068,1.0,0.9965635738831615
mute,2467,3,2,96,2568,0.9980529595015576,0.9795918367346939,0.9696969696969697,0.9746192893401016
ok,2401,1,0,166,2568,0.9996105919003115,1.0,0.9940119760479041,0.996996996996997
one,2430,3,5,130,2568,0.9968847352024922,0.9629629629629629,0.9774436090225563,0.9701492537313433
palm,2417,0,2,149,2568,0.9992211838006231,0.9867549668874173,1.0,0.9933333333333333
peace,2428,1,2,137,2568,0.9988317757009346,0.9856115107913669,0.9927536231884058,0.9891696750902527
peace_inverted,2405,1,1,161,2568,0.9992211838006231,0.9938271604938271,0.9938271604938271,0.9938271604938271
rock,2413,6,0,149,2568,0.9976635514018691,1.0,0.9612903225806452,0.9802631578947368
stop,2430,3,2,133,2568,0.9980529595015576,0.9851851851851852,0.9779411764705882,0.981549815498155
stop_inverted,2411,2,2,153,2568,0.9984423676012462,0.9870967741935484,0.9870967741935484,0.9870967741935484
three,2425,1,5,137,2568,0.9976635514018691,0.9647887323943662,0.9927536231884058,0.9785714285714285
three2,2397,0,0,171,2568,1.0,1.0,1.0,1.0
two_up,2435,2,2,129,2568,0.9984423676012462,0.9847328244274809,0.9847328244274809,0.9847328244274809
two_up_inverted,2417,2,2,147,2568,0.9984423676012462,0.9865771812080537,0.9865771812080537,0.9865771812080537
