positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
call,2415,1,0,152,2568,0.9996105919003115,1.0,0.9934640522875817,0.9967213114754099
dislike,2445,0,0,123,2568,1.0,1.0,1.0,1.0
fist,2472,1,1,94,2568,0.9992211838006231,0.9894736842105263,0.9894736842105263,0.9894736842105263
four,2392,7,2,167,2568,0.9964953271028038,0.9881656804733728,0.9597701149425287,0.9737609329446064
like,2422,0,1,145,2568,0.9996105919003115,0.9931506849315068,1.0,0.9965635738831615
mute,2464,6,4,94,2568,0.9961059190031153,0.9591836734693877,0.94,0.9494949494949495
ok,2401,1,0,166,2568,0.9996105919003115,1.0,0.9940119760479041,0.996996996996997
one,2429,4,7,128,2568,0.9957165109034268,0.9481481481481482,0.9696969696969697,0.9588014981273408
palm,2416,1,4,147,2568,0.9980529595015576,0.9735099337748344,0.9932432432432432,0.9832775919732442
peace,2426,3,10,129,2568,0.9949376947040498,0.9280575539568345,0.9772727272727273,0.9520295202952029
peace_inverted,2400,6,4,158,2568,0.9961059190031153,0.9753086419753086,0.9634146341463414,0.9693251533742331
rock,2417,2,2,147,2568,0.9984423676012462,0.9865771812080537,0.9865771812080537,0.9865771812080537
stop,2424,9,7,128,2568,0.9937694704049844,0.9481481481481482,0.9343065693430657,0.9411764705882353
stop_inverted,2406,7,5,150,2568,0.9953271028037384,0.967741935483871,0.9554140127388535,0.9615384615384616
three,2425,1,7,135,2568,0.9968847352024922,0.9507042253521126,0.9926470588235294,0.9712230215827338
three2,2395,2,0,171,2568,0.9992211838006231,1.0,0.9884393063583815,0.9941860465116279
two_up,2429,8,5,126,2568,0.9949376947040498,0.9618320610687023,0.9402985074626866,0.9509433962264151
two_up_inverted,2413,6,6,143,2568,0.9953271028037384,0.959731543624161,0.959731543624161,0.959731543624161
