positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,2416,0,2,150,2568,0.9992211838006231,0.9868421052631579,1.0,0.9933774834437086
1,2444,1,0,123,2568,0.9996105919003115,1.0,0.9919354838709677,0.9959514170040485
2,2473,0,0,95,2568,1.0,1.0,1.0,1.0
3,2388,11,3,166,2568,0.9945482866043613,0.9822485207100592,0.9378531073446328,0.9595375722543352
4,2422,0,0,146,2568,1.0,1.0,1.0,1.0
5,2465,5,3,95,2568,0.9968847352024922,0.9693877551020408,0.95,0.9595959595959596
6,2401,1,0,166,2568,0.9996105919003115,1.0,0.9940119760479041,0.996996996996997
7,2429,4,7,128,2568,0.9957165109034268,0.9481481481481482,0.9696969696969697,0.9588014981273408
8,2415,2,5,146,2568,0.9972741433021807,0.9668874172185431,0.9864864864864865,0.9765886287625418
9,2422,7,7,132,2568,0.9945482866043613,0.9496402877697842,0.9496402877697842,0.9496402877697842
10,2398,8,5,157,2568,0.9949376947040498,0.9691358024691358,0.9515151515151515,0.9602446483180428
11,2415,4,2,147,2568,0.9976635514018691,0.9865771812080537,0.9735099337748344,0.98
12,2427,6,4,131,2568,0.9961059190031153,0.9703703703703703,0.9562043795620438,0.9632352941176471
13,2411,2,5,150,2568,0.9972741433021807,0.967741935483871,0.9868421052631579,0.9771986970684039
14,2423,3,8,134,2568,0.9957165109034268,0.9436619718309859,0.9781021897810219,0.9605734767025089
15,2395,2,0,171,2568,0.9992211838006231,1.0,0.9884393063583815,0.9941860465116279
16,2434,3,4,127,2568,0.9972741433021807,0.9694656488549618,0.9769230769230769,0.9731800766283525
17,2417,2,6,143,2568,0.9968847352024922,0.959731543624161,0.9862068965517241,0.9727891156462585
