positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
call,2416,0,0,152,2568,1.0,1.0,1.0,1.0
dislike,2445,0,0,123,2568,1.0,1.0,1.0,1.0
fist,2473,0,0,95,2568,1.0,1.0,1.0,1.0
four,2392,7,6,163,2568,0.9949376947040498,0.9644970414201184,0.9588235294117647,0.9616519174041298
like,2422,0,0,146,2568,1.0,1.0,1.0,1.0
mute,2462,8,3,95,2568,0.9957165109034268,0.9693877551020408,0.9223300970873787,0.945273631840796
ok,2400,2,0,166,2568,0.9992211838006231,1.0,0.9880952380952381,0.9940119760479041
one,2431,2,7,128,2568,0.9964953271028038,0.9481481481481482,0.9846153846153847,0.9660377358490566
palm,2415,2,3,148,2568,0.9980529595015576,0.9801324503311258,0.9866666666666667,0.9833887043189369
peace,2424,5,6,133,2568,0.9957165109034268,0.9568345323741008,0.9637681159420289,0.9602888086642599
peace_inverted,2401,5,3,159,2568,0.9968847352024922,0.9814814814814815,0.9695121951219512,0.9754601226993865
rock,2418,1,1,148,2568,0.9992211838006231,0.9932885906040269,0.9932885906040269,0.9932885906040269
stop,2425,8,2,133,2568,0.9961059190031153,0.9851851851851852,0.9432624113475178,0.9637681159420289
stop_inverted,2411,2,5,150,2568,0.9972741433021807,0.967741935483871,0.9868421052631579,0.9771986970684039
three,2424,2,7,135,2568,0.9964953271028038,0.9507042253521126,0.9854014598540146,0.967741935483871
three2,2395,2,0,171,2568,0.9992211838006231,1.0,0.9884393063583815,0.9941860465116279
two_up,2431,6,4,127,2568,0.9961059190031153,0.9694656488549618,0.9548872180451128,0.9621212121212122
two_up_inverted,2418,1,6,143,2568,0.9972741433021807,0.959731543624161,0.9930555555555556,0.9761092150170648
